"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",26
"9",0
"10",0
"11",0
"12",355
"13",129
"14",125
"15",245
"16",32
"17",526
"18",34
"19",0
"20",0
"21",0
"22",0
"23",0
"24",87
"25",0
"26",37
"27",0
"28",0
"29",38
"30",0
"31",0
"32",63
"33",51
"34",0
"35",0
"36",343
"37",35
"38",47
"39",0
"40",0
"41",64
"42",393
"43",267
"44",1029
"45",55
"46",0
"47",0
"48",0
"49",0
"50",62
"51",0
"52",0
"53",0
"54",0
"55",0
"56",0
"57",58
"58",97
"59",90
"60",0
"61",0
"62",0
"63",0
"64",0
"65",96
"66",55
"67",210
"68",66
"69",36
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",124
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",34
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",58
"103",0
"104",0
"105",0
"106",58
"107",30110
"108",5016
"109",2322
"110",1761
"111",286
"112",173
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",82
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",103
"160",0
"161",65
"162",0
"163",2011
"164",84
"165",0
"166",0
"167",120
"168",418
"169",0
"170",96
"171",0
"172",52
"173",0
"174",49
"175",230
"176",992
"177",809
"178",1079
"179",51
"180",73
"181",0
"182",0
"183",0
"184",0
"185",51
"186",49
"187",0
"188",25
"189",0
"190",39
"191",57
"192",0
"193",0
"194",0
"195",0
"196",0
"197",604
"198",289
"199",202
"200",1390
"201",1645
"202",350
"203",125
"204",650
"205",232
"206",476
"207",0
"208",0
"209",0
"210",40
"211",0
"212",0
"213",60
"214",1054
"215",635
"216",957
"217",304
"218",47
"219",62
"220",732
"221",1352
"222",434
